Caso,Tamaño,TiempoDP (µs),MemoriaTotal (bytes)
Palindromo,768,22517,2365444
Repetidos,768,32235,2365444
Casi Idéntico,768,5,196
Transposicion,768,21970,2365444
Aleatorio,769,22883,2371600
Palindromo,769,23263,2371600
Repetidos,769,32439,2371600
Casi Idéntico,769,7,196
Transposicion,769,20464,2371600
Aleatorio,770,21800,2377764
Palindromo,770,20690,2377764
Repetidos,770,33418,2377764
Casi Idéntico,770,6,196
Transposicion,770,21356,2377764
Aleatorio,771,22520,2383936
Palindromo,771,21753,2383936
Repetidos,771,32966,2383936
Casi Idéntico,771,21,196
Transposicion,771,21342,2383936
Aleatorio,772,23464,2390116
Palindromo,772,22309,2390116
Repetidos,772,33111,2390116
Casi Idéntico,772,5,196
Transposicion,772,20992,2390116
Aleatorio,773,22751,2396304
Palindromo,773,22190,2396304
Repetidos,773,32932,2396304
Casi Idéntico,773,8,196
Transposicion,773,22345,2396304
Aleatorio,774,22094,2402500
Palindromo,774,21605,2402500
Repetidos,774,32943,2402500
Casi Idéntico,774,5,196
Transposicion,774,20887,2402500
Aleatorio,775,20954,2408704
Palindromo,775,23095,2408704
Repetidos,775,34525,2408704
Casi Idéntico,775,8,196
Transposicion,775,21086,2408704
Aleatorio,776,22096,2414916
Palindromo,776,22309,2414916
Repetidos,776,31359,2414916
Casi Idéntico,776,6,196
Transposicion,776,20623,2414916
Aleatorio,777,22742,2421136
Palindromo,777,23604,2421136
Repetidos,777,34579,2421136
Casi Idéntico,777,6,196
Transposicion,777,21181,2421136
Aleatorio,778,23190,2427364
Palindromo,778,22966,2427364
Repetidos,778,33153,2427364
Casi Idéntico,778,6,196
Transposicion,778,20629,2427364
Aleatorio,779,21496,2433600
Palindromo,779,22269,2433600
Repetidos,779,34933,2433600
Casi Idéntico,779,7,196
Transposicion,779,23506,2433600
Aleatorio,780,23238,2439844
Palindromo,780,23631,2439844
Repetidos,780,33144,2439844
Casi Idéntico,780,6,196
Transposicion,780,22232,2439844
Aleatorio,781,22697,2446096
Palindromo,781,22590,2446096
Repetidos,781,35886,2446096
Casi Idéntico,781,9,196
Transposicion,781,21743,2446096
Aleatorio,782,23889,2452356
Palindromo,782,22775,2452356
Repetidos,782,32782,2452356
Casi Idéntico,782,5,196
Transposicion,782,21720,2452356
Aleatorio,783,23363,2458624
Palindromo,783,22814,2458624
Repetidos,783,33571,2458624
Casi Idéntico,783,14,196
Transposicion,783,22990,2458624
Aleatorio,784,23758,2464900
Palindromo,784,21648,2464900
Repetidos,784,32259,2464900
Casi Idéntico,784,5,196
Transposicion,784,21144,2464900
Aleatorio,785,22622,2471184
Palindromo,785,22484,2471184
Repetidos,785,34249,2471184
Casi Idéntico,785,7,196
Transposicion,785,21258,2471184
Aleatorio,786,23126,2477476
Palindromo,786,23768,2477476
Repetidos,786,34004,2477476
Casi Idéntico,786,5,196
Transposicion,786,21277,2477476
Aleatorio,787,21572,2483776
Palindromo,787,23904,2483776
Repetidos,787,34075,2483776
Casi Idéntico,787,8,196
Transposicion,787,23733,2483776
Aleatorio,788,23077,2490084
Palindromo,788,22521,2490084
Repetidos,788,33672,2490084
Casi Idéntico,788,5,196
Transposicion,788,21732,2490084
Aleatorio,789,22267,2496400
Palindromo,789,23669,2496400
Repetidos,789,33593,2496400
Casi Idéntico,789,7,196
Transposicion,789,22207,2496400
Aleatorio,790,23149,2502724
Palindromo,790,23628,2502724
Repetidos,790,32486,2502724
Casi Idéntico,790,5,196
Transposicion,790,21671,2502724
Aleatorio,791,21417,2509056
Palindromo,791,22360,2509056
Repetidos,791,34194,2509056
Casi Idéntico,791,9,196
Transposicion,791,22791,2509056
Aleatorio,792,23487,2515396
Palindromo,792,22397,2515396
Repetidos,792,33398,2515396
Casi Idéntico,792,5,196
Transposicion,792,22902,2515396
Aleatorio,793,23268,2521744
Palindromo,793,23690,2521744
Repetidos,793,35518,2521744
Casi Idéntico,793,8,196
Transposicion,793,22170,2521744
Aleatorio,794,23212,2528100
Palindromo,794,25385,2528100
Repetidos,794,34056,2528100
Casi Idéntico,794,5,196
Transposicion,794,22008,2528100
Aleatorio,795,22631,2534464
Palindromo,795,23151,2534464
Repetidos,795,35152,2534464
Casi Idéntico,795,7,196
Transposicion,795,23098,2534464
Aleatorio,796,22076,2540836
Palindromo,796,23235,2540836
Repetidos,796,35660,2540836
Casi Idéntico,796,4,196
Transposicion,796,23554,2540836
Aleatorio,797,24041,2547216
Palindromo,797,23248,2547216
Repetidos,797,34355,2547216
Casi Idéntico,797,7,196
Transposicion,797,23920,2547216
Aleatorio,798,22720,2553604
Palindromo,798,24715,2553604
Repetidos,798,34802,2553604
Casi Idéntico,798,5,196
Transposicion,798,22284,2553604
Aleatorio,799,24383,2560000
Palindromo,799,23456,2560000
Repetidos,799,35834,2560000
Casi Idéntico,799,7,196
Transposicion,799,22217,2560000
Aleatorio,800,23889,2566404
Palindromo,800,24923,2566404
Repetidos,800,35928,2566404
Casi Idéntico,800,5,196
Transposicion,800,24234,2566404
Aleatorio,801,23713,2572816
Palindromo,801,24196,2572816
Repetidos,801,34082,2572816
Casi Idéntico,801,11,196
Transposicion,801,23854,2572816
Aleatorio,802,24127,2579236
Palindromo,802,23302,2579236
Repetidos,802,34172,2579236
Casi Idéntico,802,6,196
Transposicion,802,24180,2579236
Aleatorio,803,23514,2585664
Palindromo,803,23861,2585664
Repetidos,803,35986,2585664
Casi Idéntico,803,14,196
Transposicion,803,22799,2585664
Aleatorio,804,23039,2592100
Palindromo,804,23561,2592100
Repetidos,804,33846,2592100
Casi Idéntico,804,5,196
Transposicion,804,23023,2592100
Aleatorio,805,24023,2598544
Palindromo,805,24995,2598544
Repetidos,805,36597,2598544
Casi Idéntico,805,6,196
Transposicion,805,22514,2598544
Aleatorio,806,25857,2604996
Palindromo,806,23142,2604996
Repetidos,806,35906,2604996
Casi Idéntico,806,6,196
Transposicion,806,22641,2604996
Aleatorio,807,24543,2611456
Palindromo,807,24978,2611456
Repetidos,807,36662,2611456
Casi Idéntico,807,7,196
Transposicion,807,21686,2611456
Aleatorio,808,23141,2617924
Palindromo,808,24508,2617924
Repetidos,808,36733,2617924
Casi Idéntico,808,7,196
Transposicion,808,24521,2617924
Aleatorio,809,24104,2624400
Palindromo,809,24641,2624400
Repetidos,809,36928,2624400
Casi Idéntico,809,7,196
Transposicion,809,23499,2624400
Aleatorio,810,22867,2630884
Palindromo,810,22626,2630884
Repetidos,810,37494,2630884
Casi Idéntico,810,7,196
Transposicion,810,23250,2630884
Aleatorio,811,24089,2637376
Palindromo,811,24858,2637376
Repetidos,811,38045,2637376
Casi Idéntico,811,8,196
Transposicion,811,23017,2637376
Aleatorio,812,24202,2643876
Palindromo,812,25211,2643876
Repetidos,812,33785,2643876
Casi Idéntico,812,5,196
Transposicion,812,23273,2643876
Aleatorio,813,24453,2650384
Palindromo,813,23563,2650384
Repetidos,813,35477,2650384
Casi Idéntico,813,7,196
Transposicion,813,23197,2650384
Aleatorio,814,24607,2656900
Palindromo,814,23394,2656900
Repetidos,814,37150,2656900
Casi Idéntico,814,15,196
Transposicion,814,24521,2656900
Aleatorio,815,26627,2663424
Palindromo,815,25534,2663424
Repetidos,815,36917,2663424
Casi Idéntico,815,7,196
Transposicion,815,24285,2663424
Aleatorio,816,25691,2669956
Palindromo,816,24665,2669956
Repetidos,816,38098,2669956
Casi Idéntico,816,6,196
Transposicion,816,24684,2669956
Aleatorio,817,26009,2676496
Palindromo,817,26277,2676496
Repetidos,817,38182,2676496
Casi Idéntico,817,7,196
Transposicion,817,24829,2676496
Aleatorio,818,25321,2683044
Palindromo,818,25740,2683044
Repetidos,818,36484,2683044
Casi Idéntico,818,7,196
Transposicion,818,25651,2683044
Aleatorio,819,23883,2689600
Palindromo,819,24083,2689600
Repetidos,819,36545,2689600
Casi Idéntico,819,7,196
Transposicion,819,23613,2689600
Aleatorio,820,24725,2696164
Palindromo,820,25917,2696164
Repetidos,820,41293,2696164
Casi Idéntico,820,5,196
Transposicion,820,25156,2696164
Aleatorio,821,25229,2702736
Palindromo,821,24307,2702736
Repetidos,821,35202,2702736
Casi Idéntico,821,6,196
Transposicion,821,24397,2702736
Aleatorio,822,24388,2709316
Palindromo,822,26310,2709316
Repetidos,822,36334,2709316
Casi Idéntico,822,7,196
Transposicion,822,23847,2709316
Aleatorio,823,25937,2715904
Palindromo,823,26273,2715904
Repetidos,823,38311,2715904
Casi Idéntico,823,6,196
Transposicion,823,25803,2715904
Aleatorio,824,26155,2722500
Palindromo,824,24090,2722500
Repetidos,824,37472,2722500
Casi Idéntico,824,5,196
Transposicion,824,25165,2722500
Aleatorio,825,23093,2729104
Palindromo,825,24606,2729104
Repetidos,825,39565,2729104
Casi Idéntico,825,8,196
Transposicion,825,24285,2729104
Aleatorio,826,25141,2735716
Palindromo,826,24705,2735716
Repetidos,826,37268,2735716
Casi Idéntico,826,6,196
Transposicion,826,23574,2735716
Aleatorio,827,25604,2742336
Palindromo,827,24175,2742336
Repetidos,827,36999,2742336
Casi Idéntico,827,8,196
Transposicion,827,25032,2742336
Aleatorio,828,26478,2748964
Palindromo,828,24964,2748964
Repetidos,828,36969,2748964
Casi Idéntico,828,6,196
Transposicion,828,23845,2748964
Aleatorio,829,24278,2755600
Palindromo,829,24936,2755600
Repetidos,829,37397,2755600
Casi Idéntico,829,8,196
Transposicion,829,24089,2755600
Aleatorio,830,25651,2762244
Palindromo,830,24325,2762244
Repetidos,830,37713,2762244
Casi Idéntico,830,5,196
Transposicion,830,25896,2762244
Aleatorio,831,27774,2768896
Palindromo,831,26642,2768896
Repetidos,831,38669,2768896
Casi Idéntico,831,8,196
Transposicion,831,25557,2768896
Aleatorio,832,24773,2775556
Palindromo,832,23215,2775556
Repetidos,832,36078,2775556
Casi Idéntico,832,6,196
Transposicion,832,25712,2775556
Aleatorio,833,26604,2782224
Palindromo,833,24253,2782224
Repetidos,833,36233,2782224
Casi Idéntico,833,7,196
Transposicion,833,25921,2782224
Aleatorio,834,24362,2788900
Palindromo,834,26070,2788900
Repetidos,834,38095,2788900
Casi Idéntico,834,5,196
Transposicion,834,24422,2788900
Aleatorio,835,25934,2795584
Palindromo,835,26204,2795584
Repetidos,835,39104,2795584
Casi Idéntico,835,8,196
Transposicion,835,24561,2795584
Aleatorio,836,26203,2802276
Palindromo,836,26534,2802276
Repetidos,836,42545,2802276
Casi Idéntico,836,5,196
Transposicion,836,24057,2802276
Aleatorio,837,25692,2808976
Palindromo,837,26993,2808976
Repetidos,837,39770,2808976
Casi Idéntico,837,6,196
Transposicion,837,25329,2808976
Aleatorio,838,26765,2815684
Palindromo,838,27762,2815684
Repetidos,838,38310,2815684
Casi Idéntico,838,7,196
Transposicion,838,26573,2815684
Aleatorio,839,29230,2822400
Palindromo,839,27314,2822400
Repetidos,839,36788,2822400
Casi Idéntico,839,6,196
Transposicion,839,23742,2822400
Aleatorio,840,27374,2829124
Palindromo,840,25603,2829124
Repetidos,840,37447,2829124
Casi Idéntico,840,6,196
Transposicion,840,24575,2829124
Aleatorio,841,25276,2835856
Palindromo,841,25520,2835856
Repetidos,841,37510,2835856
Casi Idéntico,841,7,196
Transposicion,841,25818,2835856
Aleatorio,842,25074,2842596
Palindromo,842,25360,2842596
Repetidos,842,38294,2842596
Casi Idéntico,842,6,196
Transposicion,842,25004,2842596
Aleatorio,843,27789,2849344
Palindromo,843,28664,2849344
Repetidos,843,37657,2849344
Casi Idéntico,843,8,196
Transposicion,843,25589,2849344
Aleatorio,844,26389,2856100
Palindromo,844,25964,2856100
Repetidos,844,38333,2856100
Casi Idéntico,844,6,196
Transposicion,844,26388,2856100
Aleatorio,845,27124,2862864
Palindromo,845,26946,2862864
Repetidos,845,39045,2862864
Casi Idéntico,845,7,196
Transposicion,845,24625,2862864
Aleatorio,846,27626,2869636
Palindromo,846,25084,2869636
Repetidos,846,39324,2869636
Casi Idéntico,846,5,196
Transposicion,846,26122,2869636
Aleatorio,847,25785,2876416
Palindromo,847,25482,2876416
Repetidos,847,39342,2876416
Casi Idéntico,847,8,196
Transposicion,847,25878,2876416
Aleatorio,848,25353,2883204
Palindromo,848,25544,2883204
Repetidos,848,39610,2883204
Casi Idéntico,848,5,196
Transposicion,848,25560,2883204
Aleatorio,849,26797,2890000
Palindromo,849,26609,2890000
Repetidos,849,41151,2890000
Casi Idéntico,849,7,196
Transposicion,849,25172,2890000
Aleatorio,850,26465,2896804
Palindromo,850,27395,2896804
Repetidos,850,42026,2896804
Casi Idéntico,850,10,196
Transposicion,850,25573,2896804
Aleatorio,851,26861,2903616
Palindromo,851,25296,2903616
Repetidos,851,39487,2903616
Casi Idéntico,851,6,196
Transposicion,851,25588,2903616
Aleatorio,852,27574,2910436
Palindromo,852,27760,2910436
Repetidos,852,42457,2910436
Casi Idéntico,852,7,196
Transposicion,852,25226,2910436
Aleatorio,853,25138,2917264
Palindromo,853,27336,2917264
Repetidos,853,40686,2917264
Casi Idéntico,853,7,196
Transposicion,853,26963,2917264
Aleatorio,854,27162,2924100
Palindromo,854,26316,2924100
Repetidos,854,38909,2924100
Casi Idéntico,854,6,196
Transposicion,854,26969,2924100
Aleatorio,855,27824,2930944
Palindromo,855,26436,2930944
Repetidos,855,40054,2930944
Casi Idéntico,855,8,196
Transposicion,855,26133,2930944
Aleatorio,856,27183,2937796
Palindromo,856,27042,2937796
Repetidos,856,40756,2937796
Casi Idéntico,856,5,196
Transposicion,856,26360,2937796
Aleatorio,857,27841,2944656
Palindromo,857,27659,2944656
Repetidos,857,42244,2944656
Casi Idéntico,857,10,196
Transposicion,857,25744,2944656
Aleatorio,858,27017,2951524
Palindromo,858,28118,2951524
Repetidos,858,37921,2951524
Casi Idéntico,858,4,196
Transposicion,858,25738,2951524
Aleatorio,859,27672,2958400
Palindromo,859,26684,2958400
Repetidos,859,40077,2958400
Casi Idéntico,859,11,196
Transposicion,859,25494,2958400
Aleatorio,860,26421,2965284
Palindromo,860,26218,2965284
Repetidos,860,39390,2965284
Casi Idéntico,860,6,196
Transposicion,860,27577,2965284
Aleatorio,861,27256,2972176
Palindromo,861,25953,2972176
Repetidos,861,39466,2972176
Casi Idéntico,861,8,196
Transposicion,861,25669,2972176
Aleatorio,862,26319,2979076
Palindromo,862,26120,2979076
Repetidos,862,40776,2979076
Casi Idéntico,862,5,196
Transposicion,862,26920,2979076
Aleatorio,863,27346,2985984
Palindromo,863,26844,2985984
Repetidos,863,41909,2985984
Casi Idéntico,863,8,196
Transposicion,863,26780,2985984
Aleatorio,864,28118,2992900
Palindromo,864,31031,2992900
Repetidos,864,42683,2992900
Casi Idéntico,864,6,196
Transposicion,864,28968,2992900
Aleatorio,865,27798,2999824
Palindromo,865,29049,2999824
Repetidos,865,42108,2999824
Casi Idéntico,865,7,196
Transposicion,865,26549,2999824
Aleatorio,866,29703,3006756
Palindromo,866,27225,3006756
Repetidos,866,43243,3006756
Casi Idéntico,866,5,196
Transposicion,866,26816,3006756
Aleatorio,867,25868,3013696
Palindromo,867,26497,3013696
Repetidos,867,43085,3013696
Casi Idéntico,867,7,196
Transposicion,867,26557,3013696
Aleatorio,868,28607,3020644
Palindromo,868,26547,3020644
Repetidos,868,41228,3020644
Casi Idéntico,868,5,196
Transposicion,868,27787,3020644
Aleatorio,869,28764,3027600
Palindromo,869,28182,3027600
Repetidos,869,43389,3027600
Casi Idéntico,869,11,196
Transposicion,869,27184,3027600
Aleatorio,870,27351,3034564
Palindromo,870,28783,3034564
Repetidos,870,40585,3034564
Casi Idéntico,870,5,196
Transposicion,870,27536,3034564
Aleatorio,871,28075,3041536
Palindromo,871,29509,3041536
Repetidos,871,39214,3041536
Casi Idéntico,871,9,196
Transposicion,871,28409,3041536
Aleatorio,872,28209,3048516
Palindromo,872,26957,3048516
Repetidos,872,43696,3048516
Casi Idéntico,872,5,196
Transposicion,872,28116,3048516
Aleatorio,873,28994,3055504
Palindromo,873,29067,3055504
Repetidos,873,40633,3055504
Casi Idéntico,873,10,196
Transposicion,873,26654,3055504
Aleatorio,874,27867,3062500
Palindromo,874,28981,3062500
Repetidos,874,42614,3062500
Casi Idéntico,874,5,196
Transposicion,874,26221,3062500
Aleatorio,875,27624,3069504
Palindromo,875,26305,3069504
Repetidos,875,41184,3069504
Casi Idéntico,875,8,196
Transposicion,875,27931,3069504
Aleatorio,876,27590,3076516
Palindromo,876,27578,3076516
Repetidos,876,43090,3076516
Casi Idéntico,876,5,196
Transposicion,876,26974,3076516
Aleatorio,877,28038,3083536
Palindromo,877,28380,3083536
Repetidos,877,43016,3083536
Casi Idéntico,877,13,196
Transposicion,877,28681,3083536
Aleatorio,878,28756,3090564
Palindromo,878,29615,3090564
Repetidos,878,43365,3090564
Casi Idéntico,878,5,196
Transposicion,878,26679,3090564
Aleatorio,879,27993,3097600
Palindromo,879,29614,3097600
Repetidos,879,45241,3097600
Casi Idéntico,879,7,196
Transposicion,879,25621,3097600
Aleatorio,880,27236,3104644
Palindromo,880,27613,3104644
Repetidos,880,42295,3104644
Casi Idéntico,880,6,196
Transposicion,880,30910,3104644
Aleatorio,881,29783,3111696
Palindromo,881,28649,3111696
Repetidos,881,41429,3111696
Casi Idéntico,881,7,196
Transposicion,881,27644,3111696
Aleatorio,882,28021,3118756
Palindromo,882,27946,3118756
Repetidos,882,41982,3118756
Casi Idéntico,882,5,196
Transposicion,882,27495,3118756
Aleatorio,883,28090,3125824
Palindromo,883,27299,3125824
Repetidos,883,40493,3125824
Casi Idéntico,883,8,196
Transposicion,883,27792,3125824
Aleatorio,884,29377,3132900
Palindromo,884,28475,3132900
Repetidos,884,43192,3132900
Casi Idéntico,884,5,196
Transposicion,884,27895,3132900
Aleatorio,885,28663,3139984
Palindromo,885,27985,3139984
Repetidos,885,42607,3139984
Casi Idéntico,885,13,196
Transposicion,885,27059,3139984
Aleatorio,886,29751,3147076
Palindromo,886,29638,3147076
Repetidos,886,44480,3147076
Casi Idéntico,886,5,196
Transposicion,886,28654,3147076
Aleatorio,887,30325,3154176
Palindromo,887,29692,3154176
Repetidos,887,43859,3154176
Casi Idéntico,887,7,196
Transposicion,887,27303,3154176
Aleatorio,888,29696,3161284
Palindromo,888,29639,3161284
Repetidos,888,43347,3161284
Casi Idéntico,888,5,196
Transposicion,888,28712,3161284
Aleatorio,889,28894,3168400
Palindromo,889,29747,3168400
Repetidos,889,43564,3168400
Casi Idéntico,889,7,196
Transposicion,889,28188,3168400
Aleatorio,890,29173,3175524
Palindromo,890,29213,3175524
Repetidos,890,41393,3175524
Casi Idéntico,890,6,196
Transposicion,890,27982,3175524
Aleatorio,891,28051,3182656
Palindromo,891,29366,3182656
Repetidos,891,43180,3182656
Casi Idéntico,891,7,196
Transposicion,891,27286,3182656
Aleatorio,892,28434,3189796
Palindromo,892,27874,3189796
Repetidos,892,43541,3189796
Casi Idéntico,892,5,196
Transposicion,892,28800,3189796
Aleatorio,893,28288,3196944
Palindromo,893,27346,3196944
Repetidos,893,42615,3196944
Casi Idéntico,893,11,196
Transposicion,893,27895,3196944
Aleatorio,894,30863,3204100
Palindromo,894,31749,3204100
Repetidos,894,44792,3204100
Casi Idéntico,894,5,196
Transposicion,894,27299,3204100
Aleatorio,895,29175,3211264
Palindromo,895,29894,3211264
Repetidos,895,42879,3211264
Casi Idéntico,895,8,196
Transposicion,895,27234,3211264
Aleatorio,896,28309,3218436
Palindromo,896,30482,3218436
Repetidos,896,42706,3218436
Casi Idéntico,896,5,196
Transposicion,896,29632,3218436
Aleatorio,897,30055,3225616
Palindromo,897,27727,3225616
Repetidos,897,41725,3225616
Casi Idéntico,897,7,196
Transposicion,897,28016,3225616
Aleatorio,898,29668,3232804
Palindromo,898,28903,3232804
Repetidos,898,45879,3232804
Casi Idéntico,898,5,196
Transposicion,898,29092,3232804
Aleatorio,899,28832,3240000
Palindromo,899,28737,3240000
Repetidos,899,42432,3240000
Casi Idéntico,899,7,196
Transposicion,899,29629,3240000
Aleatorio,900,31099,3247204
Palindromo,900,28478,3247204
Repetidos,900,42006,3247204
Casi Idéntico,900,6,196
Transposicion,900,27730,3247204
Aleatorio,901,29875,3254416
Palindromo,901,31264,3254416
Repetidos,901,44047,3254416
Casi Idéntico,901,8,196
Transposicion,901,29878,3254416
Aleatorio,902,29984,3261636
Palindromo,902,29974,3261636
Repetidos,902,43222,3261636
Casi Idéntico,902,5,196
Transposicion,902,28571,3261636
Aleatorio,903,30848,3268864
Palindromo,903,29102,3268864
Repetidos,903,43765,3268864
Casi Idéntico,903,7,196
Transposicion,903,27761,3268864
Aleatorio,904,27844,3276100
Palindromo,904,30042,3276100
Repetidos,904,44202,3276100
Casi Idéntico,904,6,196
Transposicion,904,29681,3276100
Aleatorio,905,28899,3283344
Palindromo,905,32001,3283344
Repetidos,905,43106,3283344
Casi Idéntico,905,7,196
Transposicion,905,28164,3283344
Aleatorio,906,30226,3290596
Palindromo,906,31405,3290596
Repetidos,906,46164,3290596
Casi Idéntico,906,6,196
Transposicion,906,29365,3290596
Aleatorio,907,28795,3297856
Palindromo,907,29482,3297856
Repetidos,907,45470,3297856
Casi Idéntico,907,8,196
Transposicion,907,29545,3297856
Aleatorio,908,28826,3305124
Palindromo,908,32629,3305124
Repetidos,908,43154,3305124
Casi Idéntico,908,4,196
Transposicion,908,28071,3305124
Aleatorio,909,29479,3312400
Palindromo,909,31562,3312400
Repetidos,909,44921,3312400
Casi Idéntico,909,8,196
Transposicion,909,30143,3312400
Aleatorio,910,29977,3319684
Palindromo,910,29130,3319684
Repetidos,910,46463,3319684
Casi Idéntico,910,5,196
Transposicion,910,30132,3319684
Aleatorio,911,31455,3326976
Palindromo,911,31016,3326976
Repetidos,911,45114,3326976
Casi Idéntico,911,7,196
Transposicion,911,29001,3326976
Aleatorio,912,29650,3334276
Palindromo,912,30697,3334276
Repetidos,912,47440,3334276
Casi Idéntico,912,6,196
Transposicion,912,30566,3334276
Aleatorio,913,31960,3341584
Palindromo,913,29944,3341584
Repetidos,913,43327,3341584
Casi Idéntico,913,7,196
Transposicion,913,30142,3341584
Aleatorio,914,31880,3348900
Palindromo,914,30398,3348900
Repetidos,914,44233,3348900
Casi Idéntico,914,5,196
Transposicion,914,29787,3348900
Aleatorio,915,31865,3356224
Palindromo,915,31989,3356224
Repetidos,915,50849,3356224
Casi Idéntico,915,18,196
Transposicion,915,28233,3356224
Aleatorio,916,30981,3363556
Palindromo,916,30135,3363556
Repetidos,916,45919,3363556
Casi Idéntico,916,5,196
Transposicion,916,30484,3363556
Aleatorio,917,30465,3370896
Palindromo,917,29937,3370896
Repetidos,917,45459,3370896
Casi Idéntico,917,7,196
Transposicion,917,29789,3370896
Aleatorio,918,30018,3378244
Palindromo,918,30598,3378244
Repetidos,918,47008,3378244
Casi Idéntico,918,5,196
Transposicion,918,30509,3378244
Aleatorio,919,31068,3385600
Palindromo,919,29797,3385600
Repetidos,919,45398,3385600
Casi Idéntico,919,7,196
Transposicion,919,30437,3385600
Aleatorio,920,30480,3392964
Palindromo,920,31724,3392964
Repetidos,920,45225,3392964
Casi Idéntico,920,5,196
Transposicion,920,28945,3392964
Aleatorio,921,30159,3400336
Palindromo,921,30268,3400336
Repetidos,921,44815,3400336
Casi Idéntico,921,8,196
Transposicion,921,30093,3400336
Aleatorio,922,30687,3407716
Palindromo,922,30370,3407716
Repetidos,922,44230,3407716
Casi Idéntico,922,5,196
Transposicion,922,30038,3407716
Aleatorio,923,31374,3415104
Palindromo,923,31591,3415104
Repetidos,923,45291,3415104
Casi Idéntico,923,7,196
Transposicion,923,30427,3415104
Aleatorio,924,30998,3422500
Palindromo,924,32905,3422500
Repetidos,924,46955,3422500
Casi Idéntico,924,5,196
Transposicion,924,31965,3422500
Aleatorio,925,30422,3429904
Palindromo,925,32385,3429904
Repetidos,925,45613,3429904
Casi Idéntico,925,5,196
Transposicion,925,31153,3429904
Aleatorio,926,32214,3437316
Palindromo,926,30623,3437316
Repetidos,926,47926,3437316
Casi Idéntico,926,5,196
Transposicion,926,31813,3437316
Aleatorio,927,32370,3444736
Palindromo,927,32814,3444736
Repetidos,927,46671,3444736
Casi Idéntico,927,7,196
Transposicion,927,31266,3444736
Aleatorio,928,33603,3452164
Palindromo,928,31940,3452164
Repetidos,928,47057,3452164
Casi Idéntico,928,4,196
Transposicion,928,30071,3452164
Aleatorio,929,31258,3459600
Palindromo,929,31890,3459600
Repetidos,929,47141,3459600
Casi Idéntico,929,7,196
Transposicion,929,28385,3459600
Aleatorio,930,29819,3467044
Palindromo,930,32210,3467044
Repetidos,930,47359,3467044
Casi Idéntico,930,10,196
Transposicion,930,30953,3467044
Aleatorio,931,32377,3474496
Palindromo,931,31090,3474496
Repetidos,931,46817,3474496
Casi Idéntico,931,7,196
Transposicion,931,32854,3474496
Aleatorio,932,33282,3481956
Palindromo,932,34445,3481956
Repetidos,932,48433,3481956
Casi Idéntico,932,5,196
Transposicion,932,32514,3481956
Aleatorio,933,30806,3489424
Palindromo,933,35190,3489424
Repetidos,933,49342,3489424
Casi Idéntico,933,8,196
Transposicion,933,30182,3489424
Aleatorio,934,32313,3496900
Palindromo,934,32239,3496900
Repetidos,934,49516,3496900
Casi Idéntico,934,5,196
Transposicion,934,31238,3496900
Aleatorio,935,32214,3504384
Palindromo,935,31688,3504384
Repetidos,935,45880,3504384
Casi Idéntico,935,6,196
Transposicion,935,31875,3504384
Aleatorio,936,33031,3511876
Palindromo,936,32331,3511876
Repetidos,936,46799,3511876
Casi Idéntico,936,6,196
Transposicion,936,31570,3511876
Aleatorio,937,31489,3519376
Palindromo,937,35246,3519376
Repetidos,937,49880,3519376
Casi Idéntico,937,7,196
Transposicion,937,31373,3519376
Aleatorio,938,31922,3526884
Palindromo,938,32304,3526884
Repetidos,938,44419,3526884
Casi Idéntico,938,5,196
Transposicion,938,31580,3526884
Aleatorio,939,34474,3534400
Palindromo,939,33263,3534400
Repetidos,939,47836,3534400
Casi Idéntico,939,7,196
Transposicion,939,32856,3534400
Aleatorio,940,33923,3541924
Palindromo,940,33164,3541924
Repetidos,940,49810,3541924
Casi Idéntico,940,5,196
Transposicion,940,30332,3541924
Aleatorio,941,36179,3549456
Palindromo,941,32488,3549456
Repetidos,941,48191,3549456
Casi Idéntico,941,6,196
Transposicion,941,32571,3549456
Aleatorio,942,30677,3556996
Palindromo,942,33352,3556996
Repetidos,942,53525,3556996
Casi Idéntico,942,5,196
Transposicion,942,30895,3556996
Aleatorio,943,31069,3564544
Palindromo,943,31885,3564544
Repetidos,943,51431,3564544
Casi Idéntico,943,7,196
Transposicion,943,31725,3564544
Aleatorio,944,33157,3572100
Palindromo,944,32741,3572100
Repetidos,944,49695,3572100
Casi Idéntico,944,4,196
Transposicion,944,31622,3572100
Aleatorio,945,32479,3579664
Palindromo,945,34853,3579664
Repetidos,945,49883,3579664
Casi Idéntico,945,8,196
Transposicion,945,32525,3579664
Aleatorio,946,32732,3587236
Palindromo,946,33419,3587236
Repetidos,946,50161,3587236
Casi Idéntico,946,6,196
Transposicion,946,31960,3587236
Aleatorio,947,33517,3594816
Palindromo,947,31274,3594816
Repetidos,947,48193,3594816
Casi Idéntico,947,7,196
Transposicion,947,32482,3594816
Aleatorio,948,34913,3602404
Palindromo,948,33361,3602404
Repetidos,948,47797,3602404
Casi Idéntico,948,5,196
Transposicion,948,32459,3602404
Aleatorio,949,32992,3610000
Palindromo,949,31843,3610000
Repetidos,949,50276,3610000
Casi Idéntico,949,8,196
Transposicion,949,31458,3610000
Aleatorio,950,34098,3617604
Palindromo,950,34091,3617604
Repetidos,950,48155,3617604
Casi Idéntico,950,5,196
Transposicion,950,33011,3617604
Aleatorio,951,33303,3625216
Palindromo,951,35485,3625216
Repetidos,951,49491,3625216
Casi Idéntico,951,6,196
