Caso,Tamaño,TiempoDP (µs),MemoriaTotal (bytes)
Aleatorio,161,994,104976
Palindromo,161,1026,104976
Repetidos,161,1764,104976
Casi Idéntico,161,4,196
Transposicion,161,975,104976
Aleatorio,162,1035,106276
Palindromo,162,1010,106276
Repetidos,162,1548,106276
Casi Idéntico,162,4,196
Transposicion,162,981,106276
Aleatorio,163,1026,107584
Palindromo,163,1047,107584
Repetidos,163,1538,107584
Casi Idéntico,163,4,196
Transposicion,163,1017,107584
Aleatorio,164,1057,108900
Palindromo,164,1045,108900
Repetidos,164,1588,108900
Casi Idéntico,164,4,196
Transposicion,164,1016,108900
Aleatorio,165,1077,110224
Palindromo,165,1084,110224
Repetidos,165,1611,110224
Casi Idéntico,165,5,196
Transposicion,165,1045,110224
Aleatorio,166,1105,111556
Palindromo,166,1111,111556
Repetidos,166,1544,111556
Casi Idéntico,166,3,196
Transposicion,166,1050,111556
Aleatorio,167,1328,112896
Palindromo,167,1122,112896
Repetidos,167,1716,112896
Casi Idéntico,167,4,196
Transposicion,167,1071,112896
Aleatorio,168,1110,114244
Palindromo,168,1110,114244
Repetidos,168,1634,114244
Casi Idéntico,168,4,196
Transposicion,168,1230,114244
Aleatorio,169,1141,115600
Palindromo,169,1156,115600
Repetidos,169,1636,115600
Casi Idéntico,169,4,196
Transposicion,169,1107,115600
Aleatorio,170,1158,116964
Palindromo,170,1182,116964
Repetidos,170,1700,116964
Casi Idéntico,170,3,196
Transposicion,170,1090,116964
Aleatorio,171,1228,118336
Palindromo,171,1155,118336
Repetidos,171,1786,118336
Casi Idéntico,171,3,196
Transposicion,171,1205,118336
Aleatorio,172,1294,119716
Palindromo,172,1198,119716
Repetidos,172,2075,119716
Casi Idéntico,172,5,196
Transposicion,172,1098,119716
Aleatorio,173,1197,121104
Palindromo,173,1163,121104
Repetidos,173,1727,121104
Casi Idéntico,173,4,196
Transposicion,173,1082,121104
Aleatorio,174,1201,122500
Palindromo,174,1244,122500
Repetidos,174,2159,122500
Casi Idéntico,174,6,196
Transposicion,174,1142,122500
Aleatorio,175,1237,123904
Palindromo,175,1313,123904
Repetidos,175,1781,123904
Casi Idéntico,175,4,196
Transposicion,175,1248,123904
Aleatorio,176,1670,125316
Palindromo,176,1242,125316
Repetidos,176,1825,125316
Casi Idéntico,176,4,196
Transposicion,176,1217,125316
Aleatorio,177,1243,126736
Palindromo,177,1255,126736
Repetidos,177,1851,126736
Casi Idéntico,177,8,196
Transposicion,177,1223,126736
Aleatorio,178,1273,128164
Palindromo,178,1227,128164
Repetidos,178,1804,128164
Casi Idéntico,178,3,196
Transposicion,178,1188,128164
Aleatorio,179,1279,129600
Palindromo,179,1174,129600
Repetidos,179,1893,129600
Casi Idéntico,179,6,196
Transposicion,179,1214,129600
Aleatorio,180,1267,131044
Palindromo,180,1271,131044
Repetidos,180,1847,131044
Casi Idéntico,180,3,196
Transposicion,180,1622,131044
Aleatorio,181,1422,132496
Palindromo,181,1350,132496
Repetidos,181,1891,132496
Casi Idéntico,181,4,196
Transposicion,181,1217,132496
Aleatorio,182,1280,133956
Palindromo,182,1263,133956
Repetidos,182,2134,133956
Casi Idéntico,182,4,196
Transposicion,182,1245,133956
Aleatorio,183,1355,135424
Palindromo,183,1368,135424
Repetidos,183,1921,135424
Casi Idéntico,183,4,196
Transposicion,183,1220,135424
Aleatorio,184,1336,136900
Palindromo,184,1593,136900
Repetidos,184,1965,136900
Casi Idéntico,184,7,196
Transposicion,184,1264,136900
Aleatorio,185,1352,138384
Palindromo,185,1318,138384
Repetidos,185,2056,138384
Casi Idéntico,185,3,196
Transposicion,185,1321,138384
Aleatorio,186,1299,139876
Palindromo,186,1331,139876
Repetidos,186,2055,139876
Casi Idéntico,186,3,196
Transposicion,186,1320,139876
Aleatorio,187,1377,141376
Palindromo,187,1359,141376
Repetidos,187,2359,141376
Casi Idéntico,187,5,196
Transposicion,187,1331,141376
Aleatorio,188,1339,142884
Palindromo,188,1354,142884
Repetidos,188,2046,142884
Casi Idéntico,188,3,196
Transposicion,188,1296,142884
Aleatorio,189,1402,144400
Palindromo,189,1507,144400
Repetidos,189,2043,144400
Casi Idéntico,189,5,196
Transposicion,189,1396,144400
Aleatorio,190,1402,145924
Palindromo,190,1414,145924
Repetidos,190,2146,145924
Casi Idéntico,190,3,196
Transposicion,190,1365,145924
Aleatorio,191,1428,147456
Palindromo,191,1470,147456
Repetidos,191,2142,147456
Casi Idéntico,191,4,196
Transposicion,191,1352,147456
Aleatorio,192,1431,148996
Palindromo,192,1409,148996
Repetidos,192,2261,148996
Casi Idéntico,192,5,196
Transposicion,192,1375,148996
Aleatorio,193,1410,150544
Palindromo,193,1463,150544
Repetidos,193,2140,150544
Casi Idéntico,193,3,196
Transposicion,193,1393,150544
Aleatorio,194,1391,152100
Palindromo,194,1445,152100
Repetidos,194,2126,152100
Casi Idéntico,194,5,196
Transposicion,194,1469,152100
Aleatorio,195,1801,153664
Palindromo,195,1909,153664
Repetidos,195,3040,153664
Casi Idéntico,195,6,196
Transposicion,195,1895,153664
Aleatorio,196,1932,155236
Palindromo,196,1957,155236
Repetidos,196,3152,155236
Casi Idéntico,196,6,196
Transposicion,196,1914,155236
Aleatorio,197,2007,156816
Palindromo,197,2036,156816
Repetidos,197,2835,156816
Casi Idéntico,197,4,196
Transposicion,197,2169,156816
Aleatorio,198,2042,158404
Palindromo,198,2673,158404
Repetidos,198,2893,158404
Casi Idéntico,198,9,196
Transposicion,198,2191,158404
Aleatorio,199,2015,160000
Palindromo,199,2011,160000
Repetidos,199,3040,160000
Casi Idéntico,199,6,196
Transposicion,199,2040,160000
Aleatorio,200,2422,161604
Palindromo,200,2085,161604
Repetidos,200,3016,161604
Casi Idéntico,200,5,196
Transposicion,200,2092,161604
Aleatorio,201,2565,163216
Palindromo,201,2059,163216
Repetidos,201,3092,163216
