Caso,Tamaño_m,Tamaño_n,TiempoFB (ns),Resultado FB,TiempoDP (ns),Resultado DP
Casi Identico,7,12,25329400,13,8900,13
Casi Identico,8,0,100,8,2800,8
Casi Identico,8,1,700,7,3600,7
Casi Identico,8,2,3500,10,3600,10
Casi Identico,8,3,17000,9,3100,9
Casi Identico,8,4,78400,12,3500,12
Casi Identico,8,5,241400,11,3400,11
Casi Identico,8,6,745700,14,3600,14
Casi Identico,8,7,1822700,11,4000,11
Casi Identico,8,8,4813800,12,6400,12
Casi Identico,8,9,11453500,17,6300,17
Casi Identico,8,10,23584000,13,9400,13
Casi Identico,8,11,46303300,17,15000,17
Casi Identico,8,12,83728900,16,12700,16
Casi Identico,9,0,100,9,3500,9
Casi Identico,9,1,700,8,3400,8
Casi Identico,9,2,4100,11,3800,11
Casi Identico,9,3,23000,10,4200,10
Casi Identico,9,4,113200,11,4600,11
Casi Identico,9,5,443700,12,5100,12
Casi Identico,9,6,1351900,11,5700,11
Casi Identico,9,7,4580200,14,5800,14
Casi Identico,9,8,11067500,15,7200,15
Casi Identico,9,9,26014400,14,8900,14
Casi Identico,9,10,59548000,15,13100,15
Casi Identico,9,11,133982800,16,14200,16
Casi Identico,9,12,260874400,17,14700,17
Casi Identico,10,0,100,10,3500,10
Casi Identico,10,1,700,11,29500,11
Casi Identico,10,2,4600,12,3300,12
Casi Identico,10,3,29100,11,4400,11
Casi Identico,10,4,187100,12,4300,12
Casi Identico,10,5,667500,11,5600,11
Casi Identico,10,6,2201500,12,6000,12
Casi Identico,10,7,7961300,11,7000,11
Casi Identico,10,8,24155100,14,7600,14
Casi Identico,10,9,64483000,15,8500,15
Casi Identico,10,10,150288100,14,13900,14
Casi Identico,10,11,345600200,15,16300,15
Casi Identico,10,12,845058700,18,17300,18
Casi Identico,11,0,100,11,3500,11
Casi Identico,11,1,800,12,4100,12
Casi Identico,11,2,6300,13,5500,13
Casi Identico,11,3,46100,10,5500,10
Casi Identico,11,4,258200,13,5800,13
Casi Identico,11,5,1261500,12,6800,12
Casi Identico,11,6,4683700,15,8600,15
Casi Identico,11,7,16799300,14,7800,14
Casi Identico,11,8,52458200,19,10300,19
Casi Identico,11,9,144692100,16,15700,16
Casi Identico,11,10,435137600,17,17600,17
Casi Identico,11,11,1012192100,14,20700,14
Casi Identico,11,12,2346672300,15,18900,15
Casi Identico,12,0,100,12,3400,12
Casi Identico,12,1,900,11,3800,11
Casi Identico,12,2,7200,14,3600,14
Casi Identico,12,3,57900,13,4100,13
Casi Identico,12,4,370000,12,5400,12
Casi Identico,12,5,1828000,13,6300,13
Casi Identico,12,6,8564900,16,8500,16
Casi Identico,12,7,29532400,17,8300,17
Casi Identico,12,8,98615100,16,10400,16
Casi Identico,12,9,318666400,17,17200,17
Casi Identico,12,10,818343300,22,16100,22
